GPD,year
1223943661.97183,1960
1309859154.92958,1961
1390140845.07042,1962
1549295774.64789,1963
1740845070.42254,1964
2064788732.39437,1965
2138028169.01408,1966
1748837209.30233,1967
1666666666.66667,1968
1961764705.88235,1969
2214705882.35294,1970
2427184466.01942,1971
2116541353.38346,1972
3018103448.27586,1973
2894409937.8882,1974
2810106382.97872,1975
2765254237.28814,1976
3189428571.42857,1977
3662478184.99127,1978
4020227920.22792,1979
4445228215.76763,1980
4222441860.46512,1981
4035994397.7591,1982
4057275132.27513,1983
4412279843.44423,1984
4504306722.68908,1985
5735677433.82683,1986
5074829931.97279,1987
5197765031.64557,1988
5251858439.874,1989
5889106573.46088,1990
6603185267.79643,1991
6416103925.83267,1992
5968922939.37198,1993
5446383726.77047,1994
6464382807.67884,1995
6932991739.37767,1996
6891443192.24985,1997
7482069162.42008,1998
7718109982.26093,1999
4982850662.20851,2000
5314872854.4405,2001
6166197847.85031,2002
7632723555.66221,2003
8881417906.71432,2004
10744568381.4456,2005
20885037596.6963,2006
24827339138.4906,2007
28679383241.0729,2008
26048720005.5233,2009
32197655566.5347,2010
39336668080.559,2011
41271701060.954,2012
62824629066.0408,2013
54783319817.3705,2014
49406010054.2663,2015
56164929304.8754,2016
60405924078.7278,2017
67298914624.3723,2018
68337969247.7067,2019
70043095503.6675,2020
79524421861.2743,2021
74263364041.8742,2022
76370394412.4163,2023
